id,time,appCat.social
AS14.01,2014-04-02 20:46:07.036,78.24
AS14.01,2014-04-02 20:49:16.822,103.369
AS14.01,2014-04-02 21:10:16.413,13.255
AS14.01,2014-04-02 21:10:29.668,43.777
AS14.01,2014-04-02 21:31:28.538,151.752
AS14.01,2014-04-02 22:10:47.188,47.232
AS14.01,2014-04-03 00:52:31.132,181.894
AS14.01,2014-04-03 00:58:55.546,48.353
AS14.01,2014-04-03 01:00:00.128,42.143
AS14.01,2014-04-03 01:02:38.460,33.681
AS14.01,2014-04-03 01:03:19.204,9.029
AS14.01,2014-04-03 01:10:07.812,103.41
AS14.01,2014-04-03 09:36:27.936,17.062
AS14.01,2014-04-03 09:36:48.010,19.065
AS14.01,2014-04-03 09:39:11.555,76.808
AS14.01,2014-04-03 09:42:19.937,16.123
AS14.01,2014-04-03 09:48:19.545,80.239
AS14.01,2014-04-03 09:54:04.740,30.112
AS14.01,2014-04-03 09:54:44.921,103.368
AS14.01,2014-04-03 09:56:32.305,577.336
AS14.01,2014-04-03 10:07:11.895,42.148
AS14.01,2014-04-03 10:08:23.342,8.662
AS14.01,2014-04-03 10:09:06.681,15.037
AS14.01,2014-04-03 10:11:10.339,97.55
AS14.01,2014-04-03 10:13:04.104,16.049
AS14.01,2014-04-03 10:14:36.595,59.441
AS14.01,2014-04-03 11:18:24.831,62.236
AS14.01,2014-04-03 11:26:26.055,14.06
AS14.01,2014-04-03 13:09:59.618,3.141
AS14.01,2014-04-03 13:44:20.257,9.028
AS14.01,2014-04-03 14:22:02.397,138.281
AS14.01,2014-04-03 14:27:48.345,38.973
AS14.01,2014-04-03 14:29:52.898,4.199
AS14.01,2014-04-03 14:50:41.823,25.149
AS14.01,2014-04-03 14:59:43.653,19.064
AS14.01,2014-04-03 15:05:06.039,18.244
AS14.01,2014-04-03 16:20:51.369,7.716
AS14.01,2014-04-03 16:21:35.391,2.82
AS14.01,2014-04-03 16:25:08.029,9.702
AS14.01,2014-04-03 16:26:41.990,3.615
AS14.01,2014-04-03 16:48:44.944,2.005
AS14.01,2014-04-03 16:49:04.026,21.314
AS14.01,2014-04-03 17:29:23.387,29.061
AS14.01,2014-04-03 17:53:45.385,30.421
AS14.01,2014-04-03 18:05:20.398,4.011
AS14.01,2014-04-03 18:05:31.506,1.761
AS14.01,2014-04-03 18:21:01.217,15.735
AS14.01,2014-04-03 18:22:29.805,7.034
AS14.01,2014-04-03 18:50:57.967,12.043
AS14.01,2014-04-03 21:03:25.612,7.021
AS14.01,2014-04-03 21:04:15.013,44.979
AS14.01,2014-04-03 21:19:31.154,3.008
AS14.01,2014-04-03 21:21:03.161,5.026
AS14.01,2014-04-03 21:21:10.200,23.025
AS14.01,2014-04-03 21:25:38.282,3.01
AS14.01,2014-04-03 21:38:16.319,11.328
AS14.01,2014-04-03 21:39:13.043,2.003
AS14.01,2014-04-03 22:17:08.638,85.628
AS14.01,2014-04-03 22:18:36.286,101.63
AS14.01,2014-04-03 22:20:42.530,3.171
AS14.01,2014-04-03 22:21:25.970,141.116
AS14.01,2014-04-03 22:24:11.571,92.089
AS14.01,2014-04-03 22:28:01.694,1.003
AS14.01,2014-04-03 22:28:04.766,33.768
AS14.01,2014-04-03 22:29:34.618,33.474
AS14.01,2014-04-03 22:30:24.148,101.833
AS14.01,2014-04-03 22:32:46.194,65.178
AS14.01,2014-04-03 22:34:02.423,83.579
AS14.01,2014-04-03 22:45:18.446,55.188
AS14.01,2014-04-03 23:20:21.154,7.025
AS14.01,2014-04-03 23:20:53.463,58.18
AS14.01,2014-04-03 23:27:22.203,26.089
AS14.01,2014-04-03 23:28:50.483,52.355
AS14.01,2014-04-03 23:32:50.582,11.044
AS14.01,2014-04-03 23:37:02.111,21.181
AS14.01,2014-04-03 23:55:52.362,13.108
AS14.01,2014-04-03 23:57:34.924,11.079
AS14.01,2014-04-04 00:07:24.010,110.537
AS14.01,2014-04-04 00:09:38.625,246.022
AS14.01,2014-04-04 00:15:27.105,135.578
AS14.01,2014-04-04 00:18:00.888,33.111
AS14.01,2014-04-04 10:07:14.040,27.445
AS14.01,2014-04-04 10:07:45.509,36.447
AS14.01,2014-04-04 10:08:22.974,71.49
AS14.01,2014-04-04 10:09:50.536,31.096
AS14.01,2014-04-04 10:10:25.645,209.014
AS14.01,2014-04-04 10:14:04.960,33.101
AS14.01,2014-04-04 10:19:21.911,440.258
AS14.01,2014-04-04 10:27:53.713,39.282
AS14.01,2014-04-04 10:28:37.033,19.321
AS14.01,2014-04-04 11:25:25.801,11.138
AS14.01,2014-04-04 11:54:22.578,20.156
AS14.01,2014-04-04 12:07:47.608,18.133
AS14.01,2014-04-04 15:33:24.638,24.095
AS14.01,2014-04-04 15:48:22.480,37.318
AS14.01,2014-04-04 16:09:32.398,18.247
AS14.01,2014-04-04 16:23:39.838,83.339
AS14.01,2014-04-04 16:31:18.648,68.947
AS14.01,2014-04-04 16:32:33.131,56.23
AS14.01,2014-04-04 16:52:50.717,27.354
AS14.01,2014-04-04 18:31:49.059,5.121
AS14.01,2014-04-04 18:31:54.180,201.791
AS14.01,2014-04-04 18:40:57.065,2.024
AS14.01,2014-04-04 19:49:46.900,41.403
AS14.01,2014-04-04 19:50:31.492,19.1
AS14.01,2014-04-04 20:54:53.171,19.099
AS14.01,2014-04-05 10:32:06.121,65.427
AS14.01,2014-04-05 12:03:48.369,80.638
AS14.01,2014-04-05 16:54:25.673,28.119
AS14.01,2014-04-05 18:18:38.301,38.362
AS14.01,2014-04-05 18:31:03.851,86.423
AS14.01,2014-04-05 19:19:56.026,12.973
AS14.01,2014-04-05 19:29:24.997,4.028
AS14.01,2014-04-05 19:30:19.260,47.238
AS14.01,2014-04-06 00:07:21.516,21.117
AS14.01,2014-04-06 12:32:52.903,30.08
AS14.01,2014-04-06 13:47:08.022,39.42
AS14.01,2014-04-06 14:24:54.871,197.746
AS14.01,2014-04-06 16:49:56.232,33.097
AS14.01,2014-04-07 00:00:40.407,22.337
AS14.01,2014-04-07 00:03:27.494,353.385
AS14.01,2014-04-07 12:42:10.082,87.669
AS14.01,2014-04-07 13:44:00.135,28.272
