id,time,appCat.unknown
AS14.12,2014-03-29 21:30:00.486,2.006
AS14.12,2014-03-29 22:16:29.980,6.015
AS14.12,2014-03-29 23:54:37.250,2.008
AS14.13,2014-03-16 00:39:31.451,58.481
AS14.13,2014-03-16 00:40:31.430,59.583
AS14.13,2014-03-16 00:41:31.894,5.124
AS14.13,2014-03-16 00:41:38.061,12.133
AS14.13,2014-03-16 00:42:01.486,0.514
AS14.13,2014-03-16 00:45:14.703,6.143
AS14.13,2014-03-23 12:54:37.098,19.359
AS14.13,2014-04-01 16:03:28.782,8.415
AS14.13,2014-04-01 16:04:35.395,5.104
AS14.13,2014-04-06 13:19:46.365,90.403
AS14.13,2014-04-06 13:24:15.608,19.456
AS14.13,2014-04-06 17:29:34.105,94.36
AS14.13,2014-04-06 17:31:51.908,7.028
AS14.13,2014-04-14 18:01:56.194,53.733
AS14.13,2014-04-14 19:31:15.726,3.043
AS14.13,2014-04-25 11:43:26.190,14.609
AS14.13,2014-04-25 11:57:34.828,17.544
AS14.13,2014-04-25 11:58:00.221,2.993
AS14.13,2014-04-25 12:05:49.075,5.734
AS14.13,2014-04-25 12:06:52.418,4.893
AS14.13,2014-04-25 12:08:41.266,71.197
AS14.13,2014-04-25 12:56:56.040,30.361
AS14.13,2014-04-25 12:58:27.684,17.862
AS14.13,2014-04-25 13:01:01.467,36.747
AS14.13,2014-04-25 13:01:48.510,37.31
AS14.13,2014-04-25 13:02:39.844,5.058
AS14.13,2014-04-25 13:02:44.904,6.696
AS14.13,2014-04-25 13:03:04.378,4.493
AS14.13,2014-04-25 13:03:18.891,2.409
AS14.13,2014-04-25 13:06:03.726,2.544
AS14.13,2014-04-25 13:28:54.226,8.985
AS14.13,2014-04-25 13:32:58.352,4.571
AS14.13,2014-04-25 14:30:40.677,5.115
AS14.13,2014-04-25 15:58:14.369,19.456
AS14.13,2014-05-01 04:53:30.265,51.555
AS14.13,2014-05-01 04:55:00.622,37.816
AS14.13,2014-05-01 05:02:36.572,1.037
AS14.13,2014-05-01 15:02:38.302,29.887
AS14.13,2014-05-01 15:03:19.269,22.395
AS14.14,2014-03-28 12:41:54.938,2.041
AS14.14,2014-03-28 12:41:56.983,4.552
AS14.14,2014-03-28 12:42:31.493,7.245
AS14.15,2014-04-16 19:55:46.209,23.129
AS14.16,2014-05-04 19:09:14.017,11.114
AS14.17,2014-04-08 14:51:58.368,121.221
AS14.17,2014-04-08 14:58:13.733,5.541
AS14.17,2014-04-08 15:00:30.746,3.024
AS14.17,2014-04-08 15:00:41.816,1.67
AS14.17,2014-04-08 15:16:19.290,5.016
AS14.17,2014-04-08 15:22:51.224,29.127
AS14.17,2014-04-08 15:41:16.200,33.32
AS14.17,2014-04-08 15:50:09.948,8.018
AS14.19,2014-03-26 22:26:31.302,2.006
AS14.19,2014-03-27 12:58:31.255,1.002
AS14.19,2014-03-27 12:58:32.257,8.446
AS14.19,2014-03-27 13:00:33.967,4.039
AS14.19,2014-03-27 17:16:16.559,2.015
AS14.19,2014-03-27 17:16:18.575,35.214
AS14.19,2014-03-27 23:37:13.976,1.066
AS14.19,2014-03-27 23:37:15.043,10.001
AS14.19,2014-03-27 23:37:27.122,5.074
AS14.19,2014-03-28 00:59:25.516,2.004
AS14.19,2014-03-28 00:59:27.522,2.043
AS14.19,2014-04-01 12:27:47.398,2.012
AS14.19,2014-04-01 18:01:10.453,2.77
AS14.19,2014-04-01 18:01:42.474,4.04
AS14.19,2014-04-14 14:21:18.546,2.138
AS14.19,2014-04-14 14:21:20.697,21.06
AS14.19,2014-04-14 14:32:05.773,10.012
AS14.19,2014-04-14 14:43:03.673,9.072
AS14.19,2014-04-15 13:21:01.038,2.016
AS14.19,2014-04-15 13:21:03.055,7.647
AS14.19,2014-04-15 13:24:48.835,3.008
AS14.19,2014-04-19 14:45:03.131,1.504
AS14.19,2014-04-19 15:03:00.638,3.078
AS14.19,2014-04-19 15:41:43.822,4.097
AS14.19,2014-05-01 12:03:15.273,1.004
AS14.19,2014-05-01 12:03:16.279,2.025
AS14.19,2014-05-02 22:22:08.098,1.025
AS14.19,2014-05-02 22:22:09.134,2.012
AS14.20,2014-03-20 22:31:20.286,545.854
AS14.20,2014-03-22 14:17:52.894,72.548
AS14.20,2014-03-22 14:19:23.934,982.955
AS14.20,2014-03-22 14:48:25.221,5.305
AS14.20,2014-03-22 14:58:20.884,5.111
AS14.20,2014-03-22 15:00:44.849,5.176
AS14.20,2014-03-23 22:02:15.352,22.147
AS14.20,2014-03-24 21:53:34.308,954.654
AS14.20,2014-03-25 08:29:44.822,10.034
AS14.20,2014-03-25 21:24:30.563,116.646
AS14.20,2014-03-25 21:26:28.312,10.645
AS14.20,2014-03-25 21:27:07.615,46.944
AS14.20,2014-03-25 21:31:33.851,30.126
AS14.20,2014-03-25 21:33:36.878,7.62
AS14.20,2014-03-30 10:35:10.826,360.413
AS14.20,2014-03-30 10:41:11.243,446.21
AS14.20,2014-03-30 10:52:58.464,5.344
AS14.20,2014-03-30 10:59:20.664,5.12
AS14.20,2014-03-30 11:04:24.263,4.014
AS14.20,2014-04-17 22:13:26.079,27.124
AS14.20,2014-04-17 22:16:37.038,12.056
AS14.20,2014-04-19 20:39:32.210,3.01
AS14.20,2014-04-27 20:59:30.826,59.635
AS14.23,2014-03-22 18:40:23.851,21.127
AS14.23,2014-03-22 19:20:14.605,32.733
AS14.23,2014-03-22 19:21:15.724,5.24
AS14.23,2014-03-22 19:21:41.746,19.289
AS14.23,2014-03-22 19:23:33.769,17.586
AS14.23,2014-03-22 19:25:51.742,10.187
AS14.23,2014-03-22 19:27:30.834,11.206
AS14.23,2014-03-22 19:29:21.816,44.09
AS14.23,2014-03-22 19:31:18.723,1.45
AS14.23,2014-03-22 19:31:24.723,17.077
AS14.23,2014-03-22 19:31:45.825,24.105
AS14.23,2014-03-22 19:32:57.733,19.115
AS14.23,2014-03-22 19:33:28.776,104.582
AS14.23,2014-03-22 19:35:14.891,67.132
AS14.23,2014-03-22 19:36:30.819,34.501
AS14.23,2014-03-22 19:37:06.855,61.229
AS14.23,2014-03-22 19:38:08.904,49.172
AS14.23,2014-03-22 19:39:26.388,150.641
AS14.23,2014-03-22 20:37:11.877,429.499
AS14.23,2014-03-22 20:44:38.898,8.029
AS14.23,2014-03-22 20:44:56.963,30.328
AS14.23,2014-03-22 20:45:42.147,29.283
AS14.23,2014-03-22 20:46:13.698,13.393
AS14.23,2014-03-22 20:46:31.323,753.676
AS14.23,2014-03-22 20:59:13.834,49.642
AS14.23,2014-03-22 21:00:04.407,49.185
AS14.23,2014-03-22 21:01:39.864,84.395
AS14.23,2014-03-22 21:03:15.762,63.425
AS14.23,2014-03-22 21:34:27.875,18.089
AS14.23,2014-03-22 23:06:11.821,22.761
AS14.23,2014-03-22 23:06:39.700,47.941
AS14.23,2014-03-22 23:07:39.736,8.458
AS14.23,2014-03-22 23:08:10.822,39.242
AS14.23,2014-03-22 23:08:54.686,46.805
AS14.23,2014-03-22 23:10:02.740,166.656
AS14.23,2014-03-22 23:13:58.706,71.642
AS14.23,2014-03-22 23:15:12.694,71.287
AS14.23,2014-03-22 23:16:29.878,19.973
AS14.23,2014-03-22 23:16:56.717,87.959
AS14.23,2014-03-22 23:18:42.441,12.829
AS14.23,2014-03-22 23:20:07.759,1.576
AS14.23,2014-03-22 23:27:00.822,5.012
AS14.23,2014-03-23 00:20:35.009,22.099
AS14.23,2014-03-23 02:11:25.233,40.193
