id,time,appCat.entertainment
AS14.01,2014-04-18 15:27:59.822,13.19
AS14.01,2014-04-18 15:32:24.368,102.465
AS14.01,2014-04-19 11:00:19.828,2.015
AS14.01,2014-04-19 15:37:59.407,23.847
AS14.01,2014-04-19 15:38:33.380,138.453
AS14.01,2014-04-19 19:19:00.211,32.531
AS14.01,2014-04-19 19:20:55.885,60.504
AS14.01,2014-04-19 19:22:01.430,211.924
AS14.01,2014-04-20 01:46:02.670,160.002
AS14.01,2014-04-20 01:48:46.776,183.035
AS14.01,2014-04-20 02:40:38.308,11.046
AS14.01,2014-04-20 14:40:46.160,28.238
AS14.01,2014-04-20 15:36:18.012,2.003
AS14.01,2014-04-20 15:36:20.016,21.08
AS14.01,2014-04-20 18:36:25.836,49.12
AS14.01,2014-04-20 18:39:44.687,4.637
AS14.01,2014-04-20 19:20:12.697,57.779
AS14.01,2014-04-20 19:24:45.539,97.617
AS14.01,2014-04-20 21:01:38.950,44.13
AS14.01,2014-04-20 21:30:15.403,68.805
AS14.01,2014-04-21 14:34:04.720,38.342
AS14.01,2014-04-21 14:38:27.391,7.039
AS14.01,2014-04-21 21:12:33.982,25.489
AS14.01,2014-04-21 21:17:39.926,4.01
AS14.01,2014-04-22 09:52:37.563,255.32
AS14.01,2014-04-22 14:13:05.848,20.249
AS14.01,2014-04-22 14:18:46.589,3.012
AS14.01,2014-04-22 14:22:08.398,26.651
AS14.01,2014-04-22 14:23:42.907,4.01
AS14.01,2014-04-22 14:23:47.940,41.576
AS14.01,2014-04-22 14:25:55.313,49.615
AS14.01,2014-04-22 14:27:47.559,12.178
AS14.01,2014-04-22 14:27:59.739,40.322
AS14.01,2014-04-22 14:31:09.940,1.591
AS14.01,2014-04-22 14:34:03.970,35.683
AS14.01,2014-04-22 14:39:16.706,7.936
AS14.01,2014-04-22 14:39:52.990,2.621
AS14.01,2014-04-22 14:41:00.010,12.035
AS14.01,2014-04-22 14:43:30.424,43.099
AS14.01,2014-04-22 14:44:31.088,2.019
AS14.01,2014-04-22 15:02:37.887,75.825
