id,time,appCat.other
AS14.02,2014-03-30 22:40:08.887,8.65
AS14.02,2014-03-30 22:48:56.878,4.244
AS14.02,2014-03-31 10:22:33.430,10.177
AS14.02,2014-03-31 12:10:05.549,32.226
AS14.02,2014-03-31 12:10:38.226,6.052
AS14.02,2014-03-31 15:51:56.635,9.095
AS14.02,2014-03-31 19:40:36.355,10.069
AS14.02,2014-03-31 21:48:50.099,14.122
AS14.02,2014-04-01 09:28:28.905,7.16
AS14.02,2014-04-01 09:31:23.601,18.334
AS14.02,2014-04-01 09:36:53.789,30.207
AS14.02,2014-04-01 12:09:44.053,8.031
AS14.02,2014-04-01 15:17:21.851,31.247
AS14.02,2014-04-01 15:18:58.204,17.334
AS14.02,2014-04-01 15:19:19.522,8.708
AS14.02,2014-04-01 18:04:19.757,30.089
AS14.02,2014-04-01 21:20:31.556,35.303
AS14.02,2014-04-02 10:27:21.473,17.917
AS14.02,2014-04-02 12:29:47.219,29.917
AS14.02,2014-04-02 12:30:58.305,13.156
AS14.02,2014-04-02 15:42:22.846,31.032
AS14.02,2014-04-02 15:49:06.344,9.093
AS14.02,2014-04-02 18:11:41.938,16.123
AS14.02,2014-04-02 21:42:28.667,11.506
AS14.02,2014-04-03 09:35:00.516,14.266
AS14.02,2014-04-03 12:13:15.503,10.173
AS14.02,2014-04-03 14:57:34.280,9.202
AS14.02,2014-04-03 18:48:37.516,8.099
AS14.02,2014-04-03 21:07:51.299,14.392
AS14.02,2014-04-04 10:07:52.635,12.202
AS14.02,2014-04-04 13:12:28.548,35.28
AS14.02,2014-04-04 15:44:35.273,11.281
AS14.02,2014-04-04 15:46:18.135,18.686
AS14.02,2014-04-04 15:48:41.569,15.853
AS14.02,2014-04-04 15:49:51.785,13.814
AS14.02,2014-04-04 15:51:41.209,4.406
AS14.02,2014-04-04 16:41:18.295,14.121
AS14.02,2014-04-04 18:28:00.680,9.672
AS14.02,2014-04-04 21:21:54.316,13.537
AS14.02,2014-04-05 08:57:43.221,17.839
AS14.02,2014-04-05 12:12:37.779,3.81
AS14.02,2014-04-05 12:12:52.520,3.076
AS14.02,2014-04-05 12:12:55.805,28.798
AS14.02,2014-04-05 12:13:25.839,1.324
AS14.02,2014-04-05 15:42:22.665,8.153
AS14.02,2014-04-05 18:14:52.338,26.691
AS14.02,2014-04-05 21:05:49.545,11.206
AS14.02,2014-04-06 13:22:43.161,7.274
AS14.02,2014-04-06 14:56:54.035,5.108
AS14.02,2014-04-06 18:41:59.723,8.56
AS14.02,2014-04-06 21:20:09.336,9.069
AS14.02,2014-04-07 09:25:39.711,11.192
AS14.02,2014-04-07 11:58:26.823,30.039
AS14.02,2014-04-07 12:06:49.342,8.122
AS14.02,2014-04-07 15:50:41.066,18.016
AS14.02,2014-04-07 18:00:59.706,25.076
AS14.02,2014-04-07 21:41:41.844,13.703
AS14.02,2014-04-08 09:32:19.592,15.111
AS14.02,2014-04-08 14:31:54.696,19.422
AS14.02,2014-04-08 14:33:32.282,13.262
AS14.02,2014-04-08 14:33:55.210,5.589
AS14.02,2014-04-08 14:59:56.362,10.546
AS14.02,2014-04-08 15:14:28.165,3.013
AS14.02,2014-04-08 15:14:38.446,4.237
AS14.02,2014-04-08 15:35:49.604,19.702
AS14.02,2014-04-08 18:28:21.795,12.363
AS14.02,2014-04-08 22:51:41.239,31.189
AS14.02,2014-04-09 09:56:51.510,8.312
AS14.02,2014-04-09 13:13:38.878,1.287
AS14.02,2014-04-09 15:31:58.392,21.371
AS14.02,2014-04-09 19:09:26.582,9.321
AS14.02,2014-04-09 21:55:30.335,21.106
AS14.02,2014-04-10 09:15:53.029,32.165
AS14.02,2014-04-10 12:45:11.005,8.244
AS14.02,2014-04-10 17:42:18.844,31.363
AS14.02,2014-04-10 17:56:42.173,13.107
AS14.02,2014-04-10 21:28:19.329,56.335
AS14.02,2014-04-11 13:25:44.973,17.727
AS14.02,2014-04-11 16:26:42.852,37.893
AS14.02,2014-04-11 16:27:21.130,31.487
AS14.02,2014-04-11 16:28:21.355,7.919
AS14.02,2014-04-11 16:28:30.759,5.06
AS14.02,2014-04-11 19:19:54.516,36.042
AS14.02,2014-04-12 21:50:30.188,11.016
AS14.02,2014-04-13 09:18:40.756,8.196
AS14.02,2014-04-13 13:06:18.677,7.203
AS14.02,2014-04-13 15:36:40.538,50.611
AS14.02,2014-04-13 19:47:21.780,7.058
AS14.02,2014-04-13 21:48:49.009,6.044
AS14.02,2014-04-14 12:32:48.302,7.135
AS14.02,2014-04-14 16:08:44.654,6.021
AS14.02,2014-04-14 18:40:08.857,8.026
AS14.03,2014-03-21 14:58:46.177,83.597
AS14.03,2014-03-21 15:00:31.358,28.591
AS14.03,2014-03-21 15:03:32.345,0.948
AS14.03,2014-03-21 15:08:34.990,0.995
AS14.03,2014-03-21 15:10:56.069,1.011
AS14.03,2014-03-21 15:10:57.084,322.017
AS14.03,2014-03-21 18:11:50.084,27.651
AS14.03,2014-03-21 18:22:11.075,0.82
AS14.03,2014-03-21 18:28:38.150,1.257
AS14.03,2014-03-21 18:40:37.217,9.133
AS14.03,2014-03-21 18:52:58.048,7.082
AS14.03,2014-03-21 18:53:05.138,21.068
AS14.03,2014-03-21 21:14:18.302,32.514
AS14.03,2014-03-21 21:17:14.841,1.832
AS14.03,2014-03-21 22:39:12.525,5.072
AS14.03,2014-03-22 11:11:47.275,19.21
AS14.03,2014-03-22 12:18:33.358,14.251
