id,time,appCat.communication
AS14.01,2014-03-24 22:20:52.184,61.971
AS14.01,2014-03-24 22:22:27.390,13.712
AS14.01,2014-03-24 22:25:50.221,83.198
AS14.01,2014-03-24 22:28:18.288,499.342
AS14.01,2014-03-24 22:37:14.033,1.796
AS14.01,2014-03-24 22:37:17.334,12.339
AS14.01,2014-03-24 22:37:31.793,162.03
AS14.01,2014-03-24 22:40:15.861,48.305
AS14.01,2014-03-25 06:46:37.486,46.258
AS14.01,2014-03-25 07:37:44.441,39.133
AS14.01,2014-03-25 07:38:27.740,11.09
AS14.01,2014-03-25 08:13:46.194,16.074
AS14.01,2014-03-25 08:25:34.151,18.091
AS14.01,2014-03-25 08:31:19.361,20.808
AS14.01,2014-03-25 08:31:42.799,11.254
AS14.01,2014-03-25 08:33:54.818,48.743
AS14.01,2014-03-25 08:40:24.984,3.046
AS14.01,2014-03-25 08:41:36.285,24.137
AS14.01,2014-03-25 08:42:11.894,14.184
AS14.01,2014-03-25 09:01:32.016,41.008
AS14.01,2014-03-25 09:02:27.640,38.201
AS14.01,2014-03-25 09:04:27.585,74.237
AS14.01,2014-03-25 09:06:20.127,7.43
AS14.01,2014-03-25 09:08:08.411,58.158
AS14.01,2014-03-25 09:09:24.765,83.442
